Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
21,"{'alpha': 1, 'delta': 0.5}",30.040921211242676,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.00719375277,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}"
22,"{'alpha': 1, 'delta': 1}",25.082550764083862,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.00719375277,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}"
23,"{'alpha': 1, 'delta': 1.5}",29.992281436920166,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.00719375277,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}"
24,"{'alpha': 1, 'delta': 2}",29.794814109802246,4,0.02,0.03,"{1: 0.071, 2: 0.006, 3: 0.001, 4: 0.001}",9957.1825,14349.00719375277,"{1: 307.77, 2: 1395.64, 3: 3388.71, 4: 34736.61}","{1: 0.999, 2: 0.998, 3: 0.997, 4: 0.898}","{1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0}"
25,"{'alpha': 1.5, 'delta': 0.05}",22.876328945159912,3,0.309,0.399,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}"
26,"{'alpha': 1.5, 'delta': 0.1}",22.463029623031616,3,0.309,0.399,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}"
27,"{'alpha': 1.5, 'delta': 0.5}",21.809677600860596,3,0.309,0.399,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}"
28,"{'alpha': 1.5, 'delta': 1}",22.092207431793213,3,0.309,0.399,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}"
29,"{'alpha': 1.5, 'delta': 1.5}",22.795451641082764,3,0.309,0.399,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}"
30,"{'alpha': 1.5, 'delta': 2}",22.95107889175415,3,0.309,0.399,"{1: 0.873, 2: 0.052, 3: 0.003}",7724262.09,9938445.913690902,"{1: 98880.06, 2: 1312021.69, 3: 21761884.52}","{1: 0.921, 2: 0.945, 3: 0.731}","{1: 1.0, 2: 1.0, 3: 1.0}"
